Not After,OCN,Org Name,Cert
"27 Aug 24 14:25 UTC","912K","TransNexus, Inc.","https://certificates.clearip.com/0449db64-4795-4735-b359-8dec139b2913/fb4f4207a6aa2e4d99b01cfdbc71ad4d.pem"
"05 Sep 24 20:50 UTC","0843","TransNexus, Inc.","https://certificates.clearip.com/04dab6de-0fdd-4299-bd4a-bf6e4349f114/410ba597afbf3228d3bc00be52b11621.pem"
"18 Aug 24 22:29 UTC","021K","TransNexus, Inc.","https://certificates.clearip.com/05505eb7-fca1-40a5-bdc0-55eeaa9901e7/63cd946657b71d084c14e5a320b2f61b.pem"
"07 Oct 23 15:05 UTC","012K","TransNexus, Inc.","https://certificates.clearip.com/06ebd24a-1f0a-46d5-8a2f-a7ae49be8ed6/03ebe0e235fb7201e89dc7f6e5bfbb88.pem"
"29 Aug 23 15:02 UTC","012K","TransNexus, Inc.","https://certificates.clearip.com/06ebd24a-1f0a-46d5-8a2f-a7ae49be8ed6/14c50587bad230a34b1b6a3030f869e8.pem"
"09 Nov 23 15:08 UTC","012K","TransNexus, Inc.","https://certificates.clearip.com/06ebd24a-1f0a-46d5-8a2f-a7ae49be8ed6/18732b1bbab445541a26bef947ebbc54.pem"
"23 Aug 23 15:02 UTC","012K","TransNexus, Inc.","https://certificates.clearip.com/06ebd24a-1f0a-46d5-8a2f-a7ae49be8ed6/1bf7e75f985e3df4e9e759203180f3b4.pem"
"05 Jan 24 15:12 UTC","012K","TransNexus, Inc.","https://certificates.clearip.com/06ebd24a-1f0a-46d5-8a2f-a7ae49be8ed6/2152a0e3368d4700cceae753e65fca62.pem"
"10 Oct 23 15:05 UTC","012K","TransNexus, Inc.","https://certificates.clearip.com/06ebd24a-1f0a-46d5-8a2f-a7ae49be8ed6/289871882cc2f4bbdbbf477328810177.pem"
"29 Aug 24 15:34 UTC","012K","TransNexus, Inc.","https://certificates.clearip.com/06ebd24a-1f0a-46d5-8a2f-a7ae49be8ed6/2c1e4db240fccac7055f4b33e37c7c42.pem"
"25 Sep 23 15:04 UTC","012K","TransNexus, Inc.","https://certificates.clearip.com/06ebd24a-1f0a-46d5-8a2f-a7ae49be8ed6/383a48b4085ce3e3215e434b01e6756a.pem"
"06 Nov 23 15:08 UTC","012K","TransNexus, Inc.","https://certificates.clearip.com/06ebd24a-1f0a-46d5-8a2f-a7ae49be8ed6/44fd20fbd3a8a28ecb48a0c47f1dff6e.pem"
"17 Aug 23 15:02 UTC","012K","TransNexus, Inc.","https://certificates.clearip.com/06ebd24a-1f0a-46d5-8a2f-a7ae49be8ed6/4b019b203fa637846395fc2a6b6c89e3.pem"
